date,temperature,humidity,luminosity
2022-11-10 15:31:34.869,23.8,34.4,39
2022-11-10 15:31:33.866,23.8,34.4,39
2022-11-10 15:31:32.587,23.8,34.3,39
2022-11-10 15:31:31.588,23.8,34.3,39
2022-11-10 15:31:30.310,23.8,34.3,39
2022-11-10 15:31:29.307,23.8,34.3,39
2022-11-10 15:31:28.032,23.8,34.3,39
2022-11-10 15:31:27.028,23.8,34.3,39
2022-11-10 15:31:25.751,23.8,34.3,39
2022-11-10 15:31:24.748,23.8,34.3,39
2022-11-10 15:31:23.473,23.8,34.3,39
2022-11-10 15:31:22.470,23.8,34.3,39
2022-11-10 15:31:21.191,23.8,34.3,39
2022-11-10 15:31:20.188,23.8,34.3,39
2022-11-10 15:31:18.914,23.8,34.2,39
2022-11-10 15:31:17.911,23.8,34.2,39
2022-11-10 15:31:16.633,23.8,34.2,39
2022-11-10 15:31:15.632,23.8,34.2,39
2022-11-10 15:31:14.355,23.8,34.2,39
2022-11-10 15:31:13.351,23.8,34.2,39
2022-11-10 15:31:12.073,23.8,34.2,39
2022-11-10 15:31:11.073,23.8,34.2,39
2022-11-10 15:31:09.796,23.8,34.2,39
2022-11-10 15:31:08.792,23.8,34.2,39
2022-11-10 15:31:07.513,23.8,34.2,39
2022-11-10 15:31:06.513,23.8,34.2,39
2022-11-10 15:31:05.236,23.8,34.2,39
2022-11-10 15:31:04.233,23.8,34.2,39
2022-11-10 15:31:02.959,23.8,34.2,39
2022-11-10 15:31:01.955,23.8,34.2,39
2022-11-10 15:31:00.676,23.8,34.2,39
2022-11-10 15:30:59.673,23.8,34.2,39
2022-11-10 15:30:58.399,23.8,34.3,39
2022-11-10 15:30:57.396,23.8,34.3,39
2022-11-10 15:30:56.117,23.8,34.3,39
2022-11-10 15:30:55.118,23.8,34.3,39
2022-11-10 15:30:53.840,23.8,34.4,39
2022-11-10 15:30:52.836,23.8,34.4,39
2022-11-10 15:30:51.558,23.8,34.4,39
2022-11-10 15:30:50.559,23.8,34.4,38
2022-11-10 15:30:49.281,23.8,34.4,38
2022-11-10 15:30:48.277,23.8,34.4,38
2022-11-10 15:30:46.998,23.8,34.3,39
2022-11-10 15:30:46.000,23.8,34.3,39
2022-11-10 15:30:44.721,23.8,34.4,39
2022-11-10 15:30:43.718,23.8,34.4,39
2022-11-10 15:30:42.444,23.8,34.4,39
2022-11-10 15:30:41.440,23.8,34.4,39
2022-11-10 15:30:40.161,23.8,34.5,39
2022-11-10 15:30:39.159,23.8,34.5,39
2022-11-10 15:30:37.884,23.8,34.5,39
2022-11-10 15:30:36.880,23.8,34.5,39
2022-11-10 15:30:35.603,23.8,34.5,39
2022-11-10 15:30:34.603,23.8,34.5,39
2022-11-10 15:30:33.325,23.8,34.5,39
2022-11-10 15:30:32.322,23.8,34.5,39
2022-11-10 15:30:31.043,23.8,34.5,39
2022-11-10 15:30:30.043,23.8,34.5,39
2022-11-10 15:30:28.766,23.8,34.6,39
2022-11-10 15:30:27.763,23.8,34.6,39
2022-11-10 15:30:26.488,23.8,34.6,39
2022-11-10 15:30:25.484,23.8,34.6,39
2022-11-10 15:30:24.206,23.8,34.4,39
2022-11-10 15:30:23.203,23.8,34.4,39
2022-11-10 15:30:21.929,23.8,34.3,39
2022-11-10 15:30:20.926,23.8,34.3,39
2022-11-10 15:30:19.647,23.8,34.2,39
2022-11-10 15:30:18.644,23.8,34.2,39
2022-11-10 15:30:17.370,23.8,34.2,39
2022-11-10 15:30:16.366,23.8,34.2,39
2022-11-10 15:30:15.088,23.8,34.3,39
2022-11-10 15:30:14.088,23.8,34.3,39
2022-11-10 15:30:12.810,23.8,34.3,39
2022-11-10 15:30:11.807,23.8,34.3,39
2022-11-10 15:30:10.529,23.8,34.4,39
2022-11-10 15:30:09.528,23.8,34.4,39
2022-11-10 15:30:08.251,23.8,34.5,36
2022-11-10 15:30:07.248,23.8,34.5,37
2022-11-10 15:30:05.974,23.8,34.7,37
2022-11-10 15:30:04.970,23.8,34.7,37
2022-11-10 15:30:03.691,23.8,34.8,37
2022-11-10 15:30:02.687,23.8,34.8,38
2022-11-10 15:30:01.415,23.8,34.8,38
2022-11-10 15:30:00.410,23.8,34.8,38
2022-11-10 15:29:59.132,23.8,34.8,38
2022-11-10 15:29:58.128,23.8,34.8,38
2022-11-10 15:29:56.854,23.8,34.7,37
2022-11-10 15:29:55.852,23.8,34.7,38
2022-11-10 15:29:54.573,23.8,34.8,36
2022-11-10 15:29:53.573,23.8,34.8,38
2022-11-10 15:29:52.295,23.8,34.6,21
2022-11-10 15:29:51.292,23.8,34.6,38
2022-11-10 15:29:50.014,23.8,34.4,37
2022-11-10 15:29:49.014,23.8,34.4,39
2022-11-10 15:29:47.736,23.8,34.3,39
2022-11-10 15:29:46.732,23.8,34.3,38
2022-11-10 15:29:45.455,23.8,34.4,38
2022-11-10 15:29:44.456,23.8,34.4,38
2022-11-10 15:29:43.176,23.8,34.4,38
2022-11-10 15:29:42.173,23.8,34.4,38
2022-11-10 15:29:40.899,23.8,34.4,39
2022-11-10 15:29:39.895,23.8,34.4,39
2022-11-10 15:29:38.617,23.8,34.4,39
2022-11-10 15:29:37.615,23.8,34.4,39
2022-11-10 15:29:36.339,23.8,34.5,39
2022-11-10 15:29:35.336,23.8,34.5,40
2022-11-10 15:29:34.058,23.8,34.6,39
2022-11-10 15:29:33.058,23.8,34.6,39
2022-11-10 15:29:31.779,23.8,34.7,39
2022-11-10 15:29:30.776,23.8,34.7,39
2022-11-10 15:29:29.498,23.8,34.7,40
2022-11-10 15:29:28.498,23.8,34.7,40
2022-11-10 15:29:27.220,23.8,34.4,40
2022-11-10 15:29:26.217,23.8,34.4,40
2022-11-10 15:29:24.939,23.8,34.2,40
2022-11-10 15:29:23.939,23.8,34.2,40
2022-11-10 15:29:22.662,23.8,34.2,40
2022-11-10 15:29:21.658,23.8,34.2,40
2022-11-10 15:29:20.383,23.8,34.2,40
2022-11-10 15:29:19.379,23.8,34.2,40
2022-11-10 15:29:18.101,23.8,34.4,40
2022-11-10 15:29:17.098,23.8,34.4,40
2022-11-10 15:29:15.825,23.8,34.5,40
2022-11-10 15:29:14.821,23.8,34.5,40
2022-11-10 15:29:13.543,23.8,34.4,40
2022-11-10 15:29:12.544,23.8,34.4,39
2022-11-10 15:29:11.266,23.8,34.5,37
2022-11-10 15:29:10.262,23.8,34.5,37
2022-11-10 15:29:08.983,23.8,34.7,39
2022-11-10 15:29:07.983,23.8,34.7,39
2022-11-10 15:29:06.705,23.8,34.7,39
2022-11-10 15:29:05.701,23.8,34.7,39
2022-11-10 15:29:04.423,23.8,34.4,39
2022-11-10 15:29:03.424,23.8,34.4,39
2022-11-10 15:29:02.146,23.8,34.2,39
2022-11-10 15:29:01.142,23.8,34.2,39
2022-11-10 15:28:59.868,23.8,33.8,38
2022-11-10 15:28:58.865,23.8,33.8,39
2022-11-10 15:28:57.587,23.8,33.8,35
2022-11-10 15:28:56.583,23.8,33.8,39
2022-11-10 15:28:55.309,23.8,33.7,40
2022-11-10 15:28:54.305,23.8,33.7,40
2022-11-10 15:28:53.027,23.8,33.7,38
2022-11-10 15:28:52.028,23.8,33.7,39
2022-11-10 15:28:50.750,23.8,33.7,38
2022-11-10 15:28:49.747,23.8,33.7,38
2022-11-10 15:28:48.473,23.8,33.7,38
2022-11-10 15:28:47.468,23.8,33.7,38
2022-11-10 15:28:46.191,23.8,33.7,38
2022-11-10 15:28:45.187,23.8,33.7,38
2022-11-10 15:28:43.913,23.8,33.6,38
2022-11-10 15:28:42.909,23.8,33.6,38
2022-11-10 15:28:41.631,23.8,33.5,38
2022-11-10 15:28:40.632,23.8,33.5,38
2022-11-10 15:28:39.353,23.8,33.5,38
2022-11-10 15:28:38.350,23.8,33.5,38
2022-11-10 15:28:37.073,23.8,33.5,38
2022-11-10 15:28:36.072,23.8,33.5,39
